n,p,n_steps,time,bottom_reached,n_threads
66,0.6,139,0.766,1,1
66,0.7,102,0.564,1,1
66,0.8,89,0.489,1,1
66,0.9,74,0.412,1,1
66,1,67,0.413,1,1
67,0.1,2,0.017,0,1
67,0.2,5,0.0349998,0,1
67,0.3,4,0.0270002,0,1
67,0.4,7,0.0449998,0,1
67,0.5,39,0.234,0,1
67,0.6,121,0.799,1,1
67,0.7,127,0.854,1,1
67,0.8,80,0.441,1,1
67,0.9,76,0.421,1,1
67,1,68,0.375,1,1
68,0.1,2,0.0109999,0,1
68,0.2,2,0.00999999,0,1
68,0.3,6,0.0350001,0,1
68,0.4,5,0.027,0,1
68,0.5,34,0.202,0,1
68,0.6,133,0.852,0,1
68,0.7,103,0.661,1,1
68,0.8,92,0.62,1,1
68,0.9,77,0.557,1,1
68,1,69,0.473,1,1
69,0.1,2,0.013,0,1
69,0.2,3,0.016,0,1
69,0.3,9,0.053,0,1
69,0.4,10,0.0580001,0,1
69,0.5,20,0.151,0,1
69,0.6,200,1.3,1,1
69,0.7,107,0.829,1,1
69,0.8,96,0.625,1,1
69,0.9,79,0.459,1,1
69,1,70,0.403,1,1
70,0.1,2,0.0120001,0,1
70,0.2,4,0.023,0,1
70,0.3,4,0.023,0,1
70,0.4,11,0.0680001,0,1
70,0.5,46,0.289,0,1
70,0.6,130,0.767,1,1
70,0.7,107,0.624,1,1
70,0.8,90,0.526,1,1
70,0.9,78,0.436,1,1
70,1,71,0.395,1,1
71,0.1,6,0.0319998,0,1
71,0.2,8,0.0450001,0,1
71,0.3,6,0.0320001,0,1
71,0.4,12,0.0650001,0,1
71,0.5,23,0.129,0,1
71,0.6,125,0.746,0,1
71,0.7,109,0.628,1,1
71,0.8,87,0.533,1,1
71,0.9,80,0.476,1,1
71,1,72,0.414,1,1
72,0.1,3,0.0139999,0,1
72,0.2,4,0.0240002,0,1
72,0.3,12,0.0679998,0,1
72,0.4,21,0.126,0,1
72,0.5,11,0.0639999,0,1
72,0.6,144,1.002,1,1
72,0.7,106,0.669,1,1
72,0.8,92,0.657,1,1
72,0.9,81,0.497,1,1
72,1,73,0.426,1,1
73,0.1,2,0.00999999,0,1
73,0.2,5,0.0279999,0,1
73,0.3,5,0.033,0,1
73,0.4,12,0.075,0,1
73,0.5,39,0.245,0,1
73,0.6,209,1.22,1,1
73,0.7,112,0.748,1,1
73,0.8,96,0.585,1,1
73,0.9,84,0.472,1,1
73,1,74,0.411,1,1
74,0.1,3,0.0150001,0,1
74,0.2,2,0.0120001,0,1
74,0.3,6,0.033,0,1
74,0.4,11,0.062,0,1
74,0.5,21,0.117,0,1
74,0.6,190,1.381,1,1
74,0.7,106,0.651,1,1
74,0.8,95,0.547,1,1
74,0.9,82,0.472,1,1
